year,site,area_m,ndvi_min,ndvi_max,ndvi_range,ndvi_mean,ndvi_std
2018,17,25.56,-0.094827585,0.048543688,0.143371273,-0.040185602,0.021368859
2018,18,24.84,-0.088082902,0.034825869,0.122908771,-0.027259223,0.022496736
2018,19,24.84,-0.105769232,0.023923445,0.129692677,-0.039379164,0.025409011
2018,20,24.12,-0.082125604,-0.004975124,0.07715048,-0.043330526,0.015541956
2018,21,24.12,-0.039735101,0.011235955,0.050971056,-0.01817956,0.010627434
2018,22,24.84,-0.061068702,0.090047397,0.151116099,-0.01696989,0.025432633
2018,23,24.84,-0.05882353,0.552380979,0.611204509,0.040804193,0.137269121
2018,24,24.48,-0.022026431,0.071428575,0.093455005,0.016422702,0.018565233
2018,25,24.84,-0.018315019,0.080645159,0.098960178,0.023466608,0.021215389
2018,26,24.12,-0.248677254,-0.013452915,0.235224339,-0.098457911,0.067749247
2018,27,24.12,-0.148387089,-0.005586592,0.142800497,-0.074536978,0.030122287
2018,28,25.2,-0.226130649,-0.02631579,0.19981486,-0.131749298,0.04908736
2018,29,24.84,-0.157446802,0.035856575,0.193303376,-0.01715492,0.040183691
2018,30,24.84,0.003984064,0.080851063,0.076866999,0.031213307,0.01724315
2018,S2,24.84,-0.077586204,0.107296139,0.184882343,0.014829505,0.042636129
2018,S31,25.2,-0.074889868,0.024193548,0.099083416,-0.027489521,0.020614971
2018,S33,24.48,-0.071729958,0.0625,0.134229958,0.004199021,0.03026524
